directory	file	line	function	property kind	status	property
FRAMAC_SHARE/libc	__fc_builtin_for_normalization.i	31	Frama_C_bzero	assigns clause	Considered valid	assigns *(dest+(0 .. n-1));
FRAMAC_SHARE/libc	__fc_builtin_for_normalization.i	31	Frama_C_bzero	from clause	Considered valid	assigns *(dest+(0 .. n-1)) \from \nothing;
FRAMAC_SHARE/libc	__fc_builtin_for_normalization.i	32	Frama_C_bzero	postcondition	Considered valid	∀ ℤ i; 0 ≤ i < \old(n) ⇒ *(\old(dest)+i) ≡ 0
FRAMAC_SHARE/libc	__fc_builtin_for_normalization.i	39	Frama_C_copy_block	assigns clause	Considered valid	assigns *(dest+(size .. size*n-1));
FRAMAC_SHARE/libc	__fc_builtin_for_normalization.i	39	Frama_C_copy_block	from clause	Considered valid	assigns *(dest+(size .. size*n-1)) \from *(dest+(0 .. size-1));
FRAMAC_SHARE/libc	__fc_builtin_for_normalization.i	40	Frama_C_copy_block	postcondition	Considered valid	∀ ℤ i, ℤ j; 0 ≤ i < \old(size) ∧ 1 ≤ j < \old(n) ⇒ *(\old(dest)+(i+j*\old(size))) ≡ *(\old(dest)+i)
FRAMAC_SHARE/libc	stdio.h	68	remove	assigns clause	Considered valid	assigns \nothing;
FRAMAC_SHARE/libc	stdio.h	71	rename	assigns clause	Considered valid	assigns \nothing;
FRAMAC_SHARE/libc	stdio.h	74	tmpfile	postcondition	Considered valid	\result ≡ \null ∨ (\valid(\result) ∧ \fresh{Old, Here}(\result,sizeof(FILE)))
FRAMAC_SHARE/libc	stdio.h	75	tmpfile	assigns clause	Considered valid	assigns \nothing;
FRAMAC_SHARE/libc	stdio.h	78	tmpnam	assigns clause	Considered valid	assigns \result, *(s+(..));
FRAMAC_SHARE/libc	stdio.h	78	tmpnam	from clause	Considered valid	assigns \result \from *(s+(..));
FRAMAC_SHARE/libc	stdio.h	79	tmpnam	from clause	Considered valid	assigns *(s+(..)) \from \nothing;
